,l,r,des
449,5000,15000,岗位职责：（1）收集客户分析需求，转化需求为可执行的分析方案。（2）基于分析方案，进行数据收集、挖掘建模、模型优化。（3）撰写分析报告。（4）跟进模型效果评估与优化。（5）其他数据分析挖掘技术性工作。岗位要求：（1）2年以上相关数据挖掘分析工作经验；（2）专业背景是应用数学或者统计学等相关专业；（3）能快速理解客户需求，将实际需求转化为建模分析需求；（4）对数据挖掘的基本算法有一定了解和应用经验；（5）熟练使用sas、jmp、spss、r等其中任一挖掘分析软件。
455,5000,14000,1、 参与bi相关大数据系统的设计、开发工作；？？2、 参与构建数据仓库及数据集市并进行etl；？？3、 参与数据可视化界面的开发和优化工作；4、 工作地点：北京、长春？？？？岗位要求：？？1.？？？？ 本科以上学历，计算机、软件、数学、统计相关专业毕业；？？2.？？？？ 掌握大数据相关数据处理技术（如hive、sparksql、hbase、storm等），数据可视化；？？3.？？？？ 掌握海量数据统计与挖掘工具（至少熟练掌握一种分析工具，如r，spss，sas，python等）；？？4.？？？？ 熟练使用excel、ppt等工具进行数据分析，攥写数据分析报告；？？5.？？？？ 具有团队精神与敬业精神，学习钻研能力强，具有良好的协调沟通能力；？？6.？？？？ 有大数据分析相关项目经验者优先考虑。
454,5000,13000,1、3年开发经验，计算机或相关专业本科以上学历。 2、精通hadoop大数据平台架构，具有扎实的java/python等开发语言；并可以开发高效可靠的代码。3、具有较强的数据分析、数据挖掘的能力。 4、熟悉spark、hive、storm等计算框架，对分布式存储和计算原理有较深的理解。5、熟悉hadoop集群，熟悉hive，impala，能熟练各组建之间的使用；6、熟练使用sql语句，对sql有一定的理解，对hadoop数据仓库有一定了解或使用经验；7、熟悉元数据，对数据建模有一定的经验；8、有大数据平台产品建设经验者优先；9、具有智能交通行业相关工作经验者优先考虑；10、具备良好的沟通协调能力和工作责任心；11、服从公司安排，能够适应长期出差；岗位要求：1、大数据平台应用项目相关项目架构设计；2、负责大数据分析系统和bi系统、数据仓库的设计和开发；3、负责数据接入、数据建模、数据清洗、做出数据报表展示，撰写规范数据词典等工作；4、负责对数据进行分析，为项目组提供大数据技术指导及分析手段支撑；5、负责大数据平台的性能监控和持续优化；针对需求提供大数据分析技术解决方案；6、数据平台的运维工作，持续完善大数据平台，保证稳定性、安全性；7、分析并解决软件开发过程中的问题；8、配合项目经理完成相关任务目标；
444,5000,10000,岗位职责：1.日常监控并提供公司所需数据，定期绘制图表汇报2.建立相关数据模型，分析并预测未来走势及目标3.撰写数据分析报告，及时发现并分析其中的变化原因，为内容团队提供数据支撑任职要求：1.有较强的数据分析能力，能熟练使用excel进行数据分析2.对数据敏感，能够在大量数据中及时发现问题并提出合理建议3.优秀的团队合作精神和沟通能力，能够协调多部门共同协作4.有网感！思维活跃，接受能力高，重度社交软件用户优先考虑
448,5000,10000,岗位职责：1、负责客户、产品数据体系的建立，对数据挖掘需求的沟通、收集、整理、理解和实现。2、分析评估产品及业务需求，研究设计相应数据挖掘方案及算法，分析数据，设计方案，构建原型，快速实现对于数据分析、挖掘的需求；3、与技术人员配合，将相关分析方法进行技术实现。4、与公司其他岗位进行良好沟通，为相关项目提供支持。5、将数据分析结果应用到业务场景中，并编写数据分析报告及其他工作文档。岗位要求：1、本科以上学历，博士、硕士优先；2、具备数据操作能力，熟练使用excel，熟练使用一种统计软件；3、良好的英文写作能力，能撰写英文分析报告；4、对数据具有高度的敏感度和警觉性，能够洞察数据异常的原因，并提出改进意见；5、良好的逻辑分析能力和文字表达能力，具备数据分析报告讲解能力。6、熟练掌握至少一种以下数据分析/数据挖掘软件，如r、spss clementine、python、sas等，熟悉数据分析的体系架构与方法。
450,5000,10000,1.负责定期收集、统计、汇总、分析航空公司、机场等的运营数据、财报等；2.对各类数据进行分析，定期出具分析报告；3.收集客户数据需求，归纳提炼出数据统计需求，提出数据需求方案进行产品化；4.对于重大事件，策划相关数据内容，提供数据可视化内容支持；5.完成领导安排的其他任务；岗位要求： 1.本科以上学历，数学、统计学等相关专业；两年以上数据分析经验，民航相关从业经验者可优先考虑；2.熟练使用ppt、excel等office软件和spss、sas等数据分析软件，熟练进行数据可视化；3.对数据敏感，擅于发现、收集、甄别有价值的各类信息，具备良好的数据分析能力、思维逻辑能力、决策判断力；4.有很强的自我学习能力，良好沟通表达和理解能力，具备快速的应变能力和良好的判断力，善于发现问题、解决问题；5.勤奋踏实、热爱创新、富有激情，工作积极主动、有强烈的责任感，有良好的抗压能力和团队合作精神。
453,5000,10000,1、负责bi数据可视化平台设计及数据报表的开发实施；2、根据各业务线需求，进行数据报表开发；职位要求：1.？具备互联网行业工作经验1年以上2.？熟练掌握python语言，？javascript，？html？，具备web开发经验3.？了解常用的web数据可视化工具以及类库？？d3.js？等4.？了解？spark，hive？，？hadoop？等数据分析工具的使用5.？熟练使用mysql，mongodb等常用的数据库
443,5000,8000,岗位职责：1.市场和运营数据的统计分析2.数据核实抽查3.通过数据引导业务发展4.领带交办的其他事宜任职要求：1.熟悉各办公软件2.做事细心，有责任心，对数字敏感
451,5000,8000,1. 交管行业业务的相关数据采集、梳理；2. 对交管系统各业务产生的数据，做统计与挖掘分析，挖掘用户行为特征等；3. 采用数据分析手段，描述业务特征，刻画业务现状，发现业务瓶颈并给出行动建议；4. 服从部门的管理及安排，推动分析问题的解决，为决策提供支持；任职要求：1. 统计学、数学、计算机信息管理等相关专业；2. 具备大数据的处理能力，具备impala、hive开发经验，熟练操作excel、ppt等办公工具，掌握r、python、spss等优先；3. 掌握数据挖掘相关的工具，熟悉常用的数据挖掘算法，有丰富的数据分析、挖掘、清洗和建模的经验；4. 具备良好的数据敏感度，能从海量数据提炼核心结果；5. 具备良好的抗压能力、沟通能力和团队精神，有独立开展分析研究项目经验。
456,5000,8000,【岗位职责】1. 负责日常数据收集、整理、录入、统计、分析，出具相关数据分析研究报告；2. 了解业务相关的各类信息动态，定期收集整理并提供决策指引；3. 负责城市及项目数据分析，监控运行情况，定期提供分析数据图表，提供预测预警和针对性策略建议；4. 负责城市及项目数据管理，进行业务涉及的客户、产品、市场、效能等维度的分析并提供合理对策，定期出具分析研究报告；5. 参与公司数据平台和分析工具的建立和完善，将业务所需要的功能和规则推动到数据库系统中得以实现。【任职要求】 1. 本科以上学历，数学、统计、计算机相关专业，1年以上市场调研、数据分析、产品研究相关工作经验，有参与过大数据产品项目者优先； 2. 能熟练使用office等办公软件及运用excel、spss等软件进行数据分析；3. 对数据敏感，有较好逻辑思维能力和缜密的分析总结能力；4. 工作认真细致，具有敬业精神、沟通能力和团队合作精神。
445,5000,7000,"岗位职责：1.负责在项目规定时间内对项目收集的数据进行统计分析，并提供优质的分析结果以供使用；2.负责给内部及外部客户提供有关不同统计分析技术、方法以及统计分析结果的相关咨询、建议和解释；3.参与回顾，推荐且流程化日常统计分析工作，编制相关程序使统计分析更加自动化以提高统计分析工作的效率、质量和准确性；4.学习和使用最新的统计模型，软件和方法，正确地把这些方法运用到相关的研究项目中；5.参与并支持对其他内部和外部客户进行统计分析方面的培训；6.主管交办的其它事宜任职要求：1、本科及以上学历，统计学、计算机或数学专业。2、较强的动手能力，丰富的统计学知识以及对数据分析软件(如sas,spss, r, python等)的操作经验；3、熟练操作日常办公软件如excel,powerpoint,access等，擅长excel函数、数据透视表，会sql等数据库软件优先；4、有耐心和责任心，工作态度认真负责，细致，严谨。公司福利：领先同行业的薪资待遇婚庆、生育等各项礼金公司各类基金解决员工购房、患病等后顾之忧公司长期服务奖金员工持股计划每年2次旅游（可带家属）17类丰富的假期"
447,5000,6000,岗位职责：1、统计、分析本网站及本城市销售数据、销售行为工作量数据、市场客户会员数据等，监控业绩进度及销售行为管控，为城市经理提供数据依据；2、辅助城市管理者整体运营，辅助制定城市运营策略、方案和计划并组织执行；3、贯彻实施公司运营管理制度和流程，制定和完善各项业务流程，保障好的用户体验和效率的提升；4、客户回访机制执行，聚类城市发展问题点，是主管、销售沟通解决业务层面问题点；5、根据城市发展现状，找出问题点并提出解决方案，制定综合解决方案，与城市管理者沟通方案并做落地执行、结果反馈，保障城市既定目标的达成；任职要求1、大专及以上学历；2、有互联网金融销售助理、销售管理、数据运营、产品运营等相关经验优先；3、数据处理能力较好，熟练应用各项办公软件，；4、性格乐观开朗，具有良好的沟通表达能力，有较好的团队合作精神，有独立分析、思考和解决问题的能力。
452,5000,6000,1、年龄不限，大专以上学历；2、负责数据的收集和整理；3、负责数据审核、数据录入、数据管理等工作；4、及时、准确完成项目部门提交的资料录入工作；5、船舶院校毕业或有船舶详细设计工作经验者优先；1、熟练掌握word和excel办公软件，熟悉excel函数；2、有统计学基础者优先；3、较强的学习能力，擅长独立思考；4、沟通协调能力强，细心负责，抗压力强。有意者请投简历至本公司邮箱：联系人：方先生；邮箱地址：hr@itossupply.com联系电话：057455717098任职资格
460,4500,8000,欢迎优秀应届毕业生加入！岗位职责：1、辅助分析师完成数据分析工作，具体内容包括统计大数据、收集信息、制作材料、制作文件、撰写分析报告等；2、在工作中深入学习部门经营业务和公司其他业务。？职位要求：1、具有优秀的道德品质和职业素养；？2、本科及以上学历，专业不限（经济类、数学类、计算机类专业优先）；3、具有很强的求知欲和学习能力，重视方法、逻辑和总结；4、具有较强的沟通能力、团队合作能力；5、具有一定的抗压能力。
469,4500,6500,岗位职责：1、负责日常经营数据的统计与分析；2、负责公司相关部门的日、周、月、季报等数据汇报工作；3、根据产品、业务、运营等部门的专题分析需求，编写相应的分析报告；任职要求：1、本科及以上学历，18年应届毕业生，统计学、应用数学等相关专业；2、了解业内主流的数据分析挖掘工具；3、工作认真细心，责任心强，良好的沟通技巧和推动能力；4、学习能力强，可承受一定工作压力。
457,4500,6000,"职位描述：岗位职责：1、营销数据的分析挖掘，产出有效的数据分析，为销售团队提供数据支持；2、分析客户属性，细分目标客户，做行业数据挖掘；3、营销团队管理模型、评级等相关数据分析；4、业务数据的监控，协助对业绩团队提出优化改进方向建议；5、各类项目的相关数据监测、数据分析，参与各类报表的数据提取和分析。1、精通运用excel，熟练掌握ppt、sql（熟悉数据挖掘的常用算法和统计分析软件）；2、具备业务理解、业务分析、数值分析、概率统计、展现逻辑、各类数据可视化能力；3、良好的跨部门沟通及协调能力，较强的学习及影响说服能力；4、1年以上销售经验、数据分析相关岗位工作经验，对营销分析管理类感兴趣者，市场营销、统计或数学等相关专业者可优先。 加入锐之旗的理由：办公环境：现代化的办公环境，优越的工作氛围，上下班有班车接送，覆盖郑州各个地区。福利待遇：入司一周内签署劳动合同,五险,公租房,午餐补助,话补,豪华大巴接送,结婚礼金,子女教育基金,部门基金,生日礼物,工龄工资,传统节日福利,完善的休假制度；发展空间：关注员工的学习和发展，专业系统的培训机制，完善的内部晋升体系，拥有广阔的职业发展空间。工作地址郑州市绿地中央广场东风南路6号南塔43楼4313室"
458,4500,6000,职位描述：1、协助上级完成具体指定的数据统计分析工作；2、编制并上报统计表，建立和健全统计台帐制度；3、协调管理统计信息系统，维护和更新统计数据平台；4、做好统计资料的保密和归档以及产品的录单工作；5、结合统计指标体系，完善和改进统计方法。任职资格：1、大专及以上学历，接受应届生实习；2、熟练使用基本的办公软件；3、工作认真负责，良好的团队合作精神。薪资待遇：底薪3200+奖金+餐补车补+五险一金+年底双薪。工作时间：朝九晚六，周末双休。
459,4500,6000,一、岗位职责1、负责日常数据监控、计划撰写和实施监督；2、负责日常数据分析，并提供相关的数据分析报告；3、对已有数据后台的优化及新功能的搭建。二、任职要求1、3年以上的数据分析经验，至少1年以上的游戏数据分析经验；2、熟练运用数据统计分析软件3、对数据有高度敏感度和警觉度，能够洞察数据异常的原因，并提出改进意见；4、良好的逻辑分析能力和文字表达能力，具备数据分析报告讲解能力。
461,4500,6000,工作职责:销售数据处理、分析等工作，并提供相关日报、周报、月报表ppt等对分公司进行业务对接分析分公司指标，提升业务转化率根据业务及项目需求，负责部分项目的协调、跟进等工作任职资格:1年以上相关工作经验大学本科及以上，金融、经济、管理等熟悉融资租赁产品，较强的市场分析能力沟通、协调能力、执行力较强
462,4500,6000,工作要求： 1、辅助完成数据分析项目过程中的数据提取、数据分析、数据展示工作，编写数据分析报告； 2、协助形成分析报告，提供数据支持，确保准确性、实用性及可衡量性； 3、通过用户行为分析，为产品、流程改进和技术解决方案提供基于运营数据分析的支持应聘要求： 1、大专及以上学历，专业不限； 2、工作细致，有耐心，善于沟通、有一定的问题解决能力； 3、对数据敏感，有较好的逻辑分析能力，喜欢数据分析工作； 4、喜欢并有志于从事数据挖掘、信息分析、市场分析及相关行业的分析研究。薪资标准：3500+提成+补助+奖金
463,4500,6000,岗位职责1、负责公司销售数据的收集整理、及时完成数据统计及分析处理工作，撰写分析报告，从数据的角度指导设计方向2、负责分析消费者画像，寻找目标市场需求，为设计开发提供意见。3、对销售产品前端，如门店、客户、商品库存等销售数据进行分析。4、负责分析公司标的品牌参数及市场动向，准确寻找市场切入点，为产品设计开发提供支持。任职资格1、大专以上学历，对数字敏感；2、熟练掌握和运用相关数据分析软件，至少掌握bi可视化工具、excel、透视图等统计工具中的一种，；
464,4500,6000,岗位职责：1．协助上级搜集对标竞品的各类信息及数据并整理；2．采集并搜集得到的数据，定时、定期的向上级进行输出和汇报； 3．负责竞品信息和数据的收集、整理与反馈，按要求及时制作相关报告； 4．负责建立、整理各类竞品信息及数据档案，完善有效的竞品信息数据库； 5．搭建竞品体系：包括搭建信息指标和各项维度的判定细则，形成系统式数据文档；6．完成上级交办的其他工作。任职资格：1、本科及以上学历，数据工程类、信息收集类、数据分析类等相关专业优先；2、一年以上工作经验；3、拥有较高的抗压性、工作积极主动、耐心细心、富有责任心、富于团队协作精神、具备综合、系统分析的能力、善于沟通；4、具有较强的组织协调力、统筹力和执行力；5、熟练运用excel软件做大量数据和信息的统计、分析、制图等使用技能者优先；6、熟练掌握photoshop软件者优先；工作时间：朝九晚六，周末双休
465,4500,6000,岗位职责：1.根据商品进销存数据进行分析，合理订货，评估并规划货品调控政策，主导商品结构规划，统计分析畅销品销售排名，预测商品销售趋势，确定商品供应需求，下过商品订货/补货、货期计划、货期安排和跟进。2.与总公司沟通确定货品上市波段及商品促销计划、库存商品重组与当即货品流转规划工作，协调跟进各店铺货品的发送、流转、分配、调拨等工作。3.及时关注市场动态，调整库存，控制及优化库存结构，合理调配公司商品资源4.指导落实季末和残次品的退货返厂工作5.畅销品及时提出补单建议，并跟进补单结果6.指导下属员工工作，并对其进行评价与考核7.负责产品结构统计分析，监控货品备品的充足，及时预警相关部门任职资格：1.大专以上学历，市场营销服装类相关专业2.5年以上货品管理工作经验，2年以上同职位工作经验3.有较强的服装美感基础，具备一定的服装市场预测能力，对时尚有较强的敏感度4.强烈的责任感和敬业精神
466,4500,6000,岗位职责：1、满足运营管理的数据分析需求，为业务决策做支持2、负责收集、整理销售运营数据，同时整合多渠道的业务数据，编写运营数据分析报告3、具有较强的数字敏感性，较为精通excel软件，熟练应用函数及相关的统计分析工具4、思维活跃，知识面广，逻辑性强，并具备快速学习的能力5、善于沟通、具有较强的团队合作精神和组织、协调能力，有较强的职业责任心任职要求：1、统招本科及以上学历，热爱数据统计，稳定性较强2、具有积极进取的精神、较强的团队意识和良好的语言组织能力、有一定沟通能力、3、具有一定的抗压能力，善于创新、勇于挑战4、统招本科以上学历，可接受应届毕业生
467,4500,6000,岗位职责：1、根据新房业务特点，结合业务发展需求，设立数据监控模型，搭建数据分析架构。2、基于新房业务项目，给予数据支持，对业务现状进行数据总结和优化，定位业务问题，找到提升业务运转的方法，提供决策支持。3、基于业务各种数据深度分析和针对，提供分析结果和结论，通过建模预估未来业务发展趋势，为业务发展提供合理建议和方案。4、理解新房业务方向和战略，为业务战略决策、业务方向提供决策支持、竞争分析和建议。5、部分临时数据的探索、分析、挖掘等工作。任职要求：1、统招本科及以上学历，计算机、统计、数学、信息技术等专业优先考虑。2、一年以上互联网数据分析或数据产品经验，具房产行业经验者优先考虑。3、具备优秀的数据处理能力，能熟练掌握使用sql、excel、spss等工具。4、具良好的数据敏感度，能从海量数据提炼核心结果，及时发现和分析其中隐含的变化和问题，具备良好的商业敏感度和创新意识。5、较好的抗压能力、沟通能力和团队精神，热爱数据分析工作，喜欢思考探究数据关系。工作时间：朝九晚六，双休，法定节假日放假薪酬福利：1、一年15薪+五险一金；2、入职系统培训及不定期培训；3、节假日发放节日礼包；
468,4500,6000,"岗位职责：1、根据上级任务安排，对相关数据进行审核、分析、维护；2、负责网络营销数据分析，对报表数据统计，进行图表分析；3、协助网络营销相关部门完成网络营销数据的分析和维护，提报数据结果；4、完成部门领导其他工作安排。任职要求：1.年龄19-30周岁，专科及以上学历，专业不限；2.数据思维清晰，逻辑能力强，精通excel透视、图标制作，熟悉vba、access或sql,mysql优先；3.工作积极、主动，责任心强，善于沟通，有良好的团队精神。"
470,4500,6000,岗位职责：1、负责电商后后台及电商销售数据收集；2、将收集的数据录入数据库，并对数据进行统计，负责数据形成表格；3、对统计的数据进行针对性分析，并形成分析报告；4、对异常数据进行重点考察、关注及标注，及时上报给上级领导；5、负责每月销售数据的整理与核对，及时交人资部核算提成；6、负责销售订单回款统计，及时与财务部对账；7、如若发现账款未及时到账，需及时和客服以及销售人员沟通对策；岗位任职要求：1、本科（含）以上学历，统计学、数学等相关专业，***；2、2年以上数据统计分析/运营工作经验，熟悉互联网行业，有电商行业、银行系统、零售行业数据分析工作经验者优先；3、计算机操作熟练，擅长excel/ppt等数据统计及分析，打字速度不低于50个汉字/分钟；
471,4500,6000,岗位职责：1、对货品数据进行统计、整理、汇总；2、完善仓库库存和货品统计，维护数据的准确性、及时性；3、常货品配货工作和店铺事务沟通，时与上级沟通，保证店铺发送产品所需的库存供给。4、协助其余部门同事完成整理货物、打包货物等工作。5、协助部门经理处理各项事宜。任职要求：1、大专或以上学历，有商品采购工作经验优先，优秀应届生也可考虑；2、office办公软件（excel）运用非常熟练；3、思路清理，善于沟通表达，对数据信息敏感；4、有较强责任心，做事踏实；5、工作态度主动积极，有责任心，细心，并能独立、高效完成多项工作任务；优秀的团队合作精神及良好的沟通、协调能力。【公司福利】1、工作时间：8小时工作制，周末双休；2、品质生活：入职即缴纳五险一金、餐补、带薪年假、年终奖等福利；3、丰富活动：国内外旅游、特色节日活动、生日会、每月不定期活动，团建大餐等；4、健康生活：健身房、台球室、兵乓球俱乐部，各体育类活动赛事；5、公司内部配有冰箱、微波炉，让工作餐健康美味无忧；工作地址：深圳市福田区福田保税区中天元物流大厦c栋10楼
472,4500,6000,岗位职责：1，能够准确整理统计业务部门各类数据。2，能够快速准确做好excel表格数据整理，熟练掌握excel表格函数设置及快捷方法。3，整理分析数据报表，协助公司决策方案。任职资格1、熟练掌握excel办公软件，熟悉excel函数；2、有统计学基础者优先；3、较强的学习能力，擅长独立思考；4、沟通协调能力强，细心负责，抗压力强联系电话：029-62237888
473,4500,6000,岗位职责： 负责收集、整理、分析业务数据，建立指标管理数据库 定期推送业务指标的运营报表，及时监控指标运行情况，为业务部门提供数据支撑 通过数据的关联与分析，挖掘业务问题，向业务部门提供建设性意见 根据领导要求，阶段性输出经营分析报告岗位要求：                     本科及以上学历，数学、统计学、经济学相关专业 熟悉excel的使用，熟练使用图表及函数功能，掌握vba编程技能者优先； 熟练应用sql语言，掌握基本的dml操作语句 了解基本的数据分析方法，包括：描述性分析、回归分析、方差分析； 具有较强的逻辑思维能力与沟通协调能力
474,4500,6000,岗位职责：  （1）负责行业数据分析、数据采集、数据录入的工作；  （2）理解业务的方向和战略，编制、总结数据分析报告；  （3）分析数据，洞察需求，能够不断补充修正现有数据库欠缺；  （4）对品牌/行业网络舆情有研究，有数据分析报告的经验。任职资格：（1）对数据敏感，较好的逻辑分析能力，有文字功底；  （2）对行业性事件、热点的传播有较大研究兴趣；  （3）工作细致，有耐心，头脑灵活、具有一定的问题解决能力；  （4）熟悉互联网、社交媒体，拥有互联网/社交媒体数据分析背景优先。
475,4500,6000,岗位描述：1、配合产品经理开展重点流量产品潜在客户深入分析、营销活动支撑、营销效果分析和持续跟进。2、重点产品包括不限量主套餐和叠加型套餐、日租套餐、万能副卡、流量年包、限时流量产品等。3、潜在客户包括超套客户、双降客户、188+客户、停机保号水平客户等任职要求：1、熟悉excel、access、word、ppt办公软件使用2、较高的数据处理能力，数据敏感度高3、工作细心负责任，积极性高4、了解移动公司业务和产品，有类似工作经验者优先5、要求全日制本科或以上学历，数学、统计学、计算机专业优先
476,4500,6000,岗位工作职责：1、通过对当前公司整体经营分析，参与公司战略和运营管理规则的制定和优化，并监督关键策略的实施落地；2、通过与运营、职能、产品等各个业务部门的沟通、协助，整合公司各项资源推进公司重点业务工作；3、负责房客业务数据分析模块的经营分析及研究，从而提升业务漏斗转化效率；4、 挖掘业务流程痛点，协调公司资源进行流程改进，从而提升整体运营效率；5、 负责设计研发提升业务作业及管理效率的工具产品，并推动其在运营落地使用；6、 辅助部门leader，逐渐完善数据分析工作的作业标准；任职资格：1、统招专科及以上学历，统计学/市场营销类专业，有数据服务类公司的数据分析经验、对数据驱动业务增长有独到见解者优先；2、工具基础良好，熟练掌握excel、ppt等分析类工具；3、综合素质良好，有跨部门沟通、培训能力，有解决复杂业务需求的思维和用数据驱动业务落地的能力；薪资待遇：4k~5k，五险一金，周末双休，节日福利                                                        联系：总部hr周 189-4821-4601
477,4500,6000,负责接收数据，清洗并处理数据，辅助开发人员维护数据库内的数据。分析和挖掘数据之间的联系。进阶方向可以是大数据挖掘和数据匹配的人工智能方向。岗位要求：1. 熟悉图书馆业务，了解marc结构、电子文献（核心期刊、期刊指标）等背景知识者优先；2. 熟练掌握数据库设计、sql操作（mysql数据库或者access数据库）；3. 熟悉csv文档，会对txt、excel文件批量替换；4. 有网络自动下载工具编写经验者优先；4. 数据清洗流程及工具使用者优先；5. 有较强的学习能力，适应多变需求能力以及团队合作精神。
478,4500,6000,1、通过系统收集并筛选有效数据，进行数据分配； 2、核查系统数据有效性、真实性，对异常数据进行分析，特殊情况上报处理； 3、负责各项数据统计、分析和报表编制并进行汇总提交领导 ； 要求如下：  1，语言表达能力佳，稳定性强，对数字敏感，逻辑思维清晰；  2，能熟练操作excel、office等办公软件；  3，有数据分析工作经验者优先；  4，优秀应届生，计算机、信息等相关专业背景优先。
479,4500,6000,1、根据商品进销存数据进行分析，合理订货，评估并规划货品调控策略2、协调跟进店铺货品的发送、流转、分配、调拨等工作；3、负责所管辖区域店铺的进、铺、存及数据分析和统计工作（动销款、畅、滞销款）4、及时关注店铺货品销售动态，调整库存，做货品促销规划；5、指导落实季末和残次品的退货返总公司工作；6、负责产品结构统计分析，根据市场需求，公司进销存数据，调整产品方向；任职资格：1、大专及以上学历，有1-3年零售行业商品工作经验，有服装行业经验优先考虑；2、excel公式及办公软件熟练操作；3、有责任和敬业精神，抗压能力强；4、具备优秀的团队管理精神和良好的沟通、管理能力
480,4500,6000,1、负责日常业务运营工作，能够独立处理数据抽取、集成、清洗和关联等工作；2、洞察业务部门需求，通过分析/挖掘方法发现业务改善点，提升公司运营效率；3、基于数据分析的数据模型研究及响应业务升级需求；4、根据公司业务需求，对业务数据库进行数据分析、数据挖掘，数据可视化、形成数据产品，对海量业务数据进行分析，深度挖掘数据行为特征，为业务发展提供有效的策略和建议，并撰写相关分析、产品文档。任职要求：1、大学本科以上学历；2、有一定数学基础、统计知识或编程基础，熟练掌握office excel、或spss等统计分析工具；3、对数据敏感，政策解读及相关沟通能力强，具有强抗压能力；4、计算机、统计学或数学专业优先。
494,4000,20000,1、研究生以上学历，博士生优先考虑； 2、对大数据行业见解深刻，对市场有敏锐的洞察力，深度挖掘政务大数据市场需求，实现数据场景化和价值变现； 3、综合能力强，具备较强沟通协调能力、应急应变能力、逻辑思维能力、分析整合能力等； 4、有一定学术研究喜好和深刻专研精神，并能形成有价值的报告、甚至论文著作等； 5、正能量，勤奋有工作热情，善于接受新鲜事物，有个人主见，学生会、团支部、班级任职者优先考虑。
496,4000,12500,"***岗位职责：1、研究各种数据清洗，修复方法，各种数据建模算法；2、研究大数据有关的数据分析方法；3、负责有关大数据分析产品的设计和开发；4、根据项目需要进行各种大数据建模分析。5、负责搭建和维护大数据集群，保证集群规模持续、稳定、高效平稳运行。6、负责在分布式离线/在线/实时计算平台上的相关应用的设计和研发；7、负责前沿大数据分布式存储、内存云计算、机器学习平台、深度学习平台的新技术和算法的研究和可行性验证。任职要求：1、计算机相关专业本科及以上学历，具备3年以上java或者python开发相关工作经验；2、熟悉常用的数据清洗和建模算法；3、熟悉hadoop等大数据有关技术；4、熟悉面向对象设计和分析，精通java容器技术，了解web前端技术；5、深刻理解分布式存储和计算的核心原理和相关算法，有相关开源贡献者优先；6、深入理解rdbms/nosql的优势和劣势,并具备相关业务研发经验；7、熟悉主流大数据计算平台的原理，熟悉mr/rdd/graph等计算模型，具有hadoop、spark、storm等分布式数据存储与计算平台的应用经验，有平台优化经验者优先；8、有责任心、学习能力强，工作认真细致，能承受压力，具备良好的沟通能力与团队协作精神。"
495,4000,12000,"1 参与大数据平台建设，维护大数据平台（性能与稳定性）2参与分析可视化，数据可视化，数据展示工具，创新数据业务等技术开发3基于海量的用户数据，建立数据挖掘模型，解析用户特征属性，预测用户行为等；4 紧密联系公司业务，提供数据分析支撑和预警监测,将数据模型应用于实际业务。岗位要求：？1 数据java或python等语言开发与应用，熟悉高并发，高性能的分布式系统设计与应用，调优；2熟悉数据库知识，有较好的sql脚本编写能力;熟悉大数据处理相关技术，包括但不限于hadoop、hive、hbase、impala、spark，kafaka、flume、sqoop、storm、redis等3 熟悉aws，对大数据分析有独到见解，具备大数据分析的思路；4 有良好业务沟通能力，具有较强的自主学习能力，具有高度责任心，较高的职业化态度；5 应届本科毕业生或工作1年内"
486,4000,8000,"岗位职责：1.支持互联网业务优化服务项目的执行，参与处理并分析互联网业务测试数据，并承担数据分析报告撰写；2.负责互联网网页/视频/游戏的业务数据分析，发现、定位业务质量问题，给出优化方向建议。3.处理用户/领导交付的其他测试服务和相关分析工作。岗位要求：1.有移动互联网分析经验，具有数据统计分析类工作经验者优先；2.有较强逻辑思维能力与独立思考能力；3.善于发现问题并能独立找到解决方案，善于从数据中找到关键信息并加以解释；4.良好的沟通能力、文字表达能力，工作严谨、有责任感；5.做事主动,执行能力强，团队合作精神佳，有较强的学习能力和探索精神。6.能承受一定的压力，愿意长期从事it相关工作。7、专科（含）以上通信、计算机、信息技术或相关专业学历，英语基础良好，一年以上工作经验；8、年龄30岁以下，能适应出差。"
488,4000,8000,岗位职责：1、有效完成数据分析项目中的数据提取、数据分析、数据展示等工作；2、形成分析报告，提供数据支持，确保准确性、实用性及可衡量性；3、通过用户的行为分析，为产品、流程改进和技术解决方案提供基于运营数据分析的支持；4、基于现有数据产品，整理分析运营指标，对数据指标进行收集和整理，形成分析报告和实施建议，反馈至相关部门进行落地；5、处理各部门提出的数据使用要求。任职要求：1、本科以上学历，数学、计算机科学、统计学等相关专业优先；2、具有数理统计、经济学、数据库原理及相关知识，精通excel等统计软件；3、熟悉数据收集、查询、分析、展现技术，能使用至少一种统计分析或数据挖掘工具（包含但不限于spss、sas、matlab、python、r等）；4、对数据敏感，具有较强的逻辑思维能力和分析解决问题能力，思维清晰，表达准确；5、有电商、用户研究相关工作经验，了解电商的关键指标；6、具有一年以上数据分析和挖掘等工作经验者优先。
